x_axis,channel_2
-4.980469,0.017454
-4.976563,0.017202
-4.972656,0.017077
-4.96875,0.017202
-4.964844,0.017328
-4.960938,0.017202
-4.957031,0.016951
-4.953125,0.0167
-4.949219,0.016951
-4.945313,0.016951
-4.941406,0.016951
-4.9375,0.0167
-4.933594,0.016449
-4.929688,0.0167
-4.925781,0.016826
-4.921875,0.016826
-4.917969,0.016574
-4.914063,0.016323
-4.910156,0.016449
-4.90625,0.0167
-4.902344,0.0167
-4.898438,0.016449
-4.894531,0.016197
-4.890625,0.016323
-4.886719,0.016449
-4.882813,0.016449
-4.878906,0.016323
-4.875,0.016072
-4.871094,0.016197
-4.867188,0.016323
-4.863281,0.016323
-4.859375,0.016072
-4.855469,0.015821
-4.851563,0.015695
-4.847656,0.015946
-4.84375,0.015946
-4.839844,0.015821
-4.835938,0.015569
-4.832031,0.015569
-4.828125,0.015695
-4.824219,0.015946
-4.820313,0.015821
-4.816406,0.015569
-4.8125,0.015569
-4.808594,0.015821
-4.804688,0.015946
-4.800781,0.015946
-4.796875,0.015695
-4.792969,0.015569
-4.789063,0.015695
-4.785156,0.015821
-4.78125,0.015695
-4.777344,0.015444
-4.773438,0.015318
-4.769531,0.015444
-4.765625,0.015695
-4.761719,0.015695
-4.757813,0.015444
-4.753906,0.015444
-4.75,0.015569
-4.746094,0.015695
-4.742188,0.015569
-4.738281,0.015444
-4.734375,0.015318
-4.730469,0.015444
-4.726563,0.015569
-4.722656,0.015569
-4.71875,0.015318
-4.714844,0.015067
-4.710938,0.015067
-4.707031,0.015192
-4.703125,0.015318
-4.699219,0.015067
-4.695313,0.01469
-4.691406,0.01469
-4.6875,0.014815
-4.683594,0.014941
-4.679688,0.014815
-4.675781,0.01469
-4.671875,0.014564
-4.667969,0.01469
-4.664063,0.014815
-4.660156,0.01469
-4.65625,0.014313
-4.652344,0.014313
-4.648438,0.014564
-4.644531,0.014564
-4.640625,0.014564
-4.636719,0.014313
-4.632813,0.014313
-4.628906,0.01469
-4.625,0.015067
-4.621094,0.015067
-4.617188,0.014941
-4.613281,0.014941
-4.609375,0.015192
-4.605469,0.015569
-4.601563,0.015821
-4.597656,0.015946
-4.59375,0.016197
-4.589844,0.017077
-4.585938,0.018082
-4.582031,0.018584
-4.578125,0.019338
-4.574219,0.019966
-4.570313,0.020594
-4.566406,0.021097
-4.5625,0.021851
-4.558594,0.022228
-4.554688,0.022102
-4.550781,0.022604
-4.546875,0.023735
-4.542969,0.024112
-4.539063,0.024112
-4.535156,0.02474
-4.53125,0.024991
-4.527344,0.025871
-4.523438,0.027001
-4.519531,0.027504
-4.515625,0.027378
-4.511719,0.027253
-4.507813,0.028258
-4.503906,0.028509
-4.5,0.028383
-4.496094,0.028635
-4.492188,0.028886
-4.488281,0.029011
-4.484375,0.028509
-4.480469,0.027755
-4.476563,0.026122
-4.472656,0.025243
-4.46875,0.025368
-4.464844,0.025745
-4.460938,0.025243
-4.457031,0.02474
-4.453125,0.024112
-4.449219,0.023986
-4.445313,0.023735
-4.441406,0.023233
-4.4375,0.021976
-4.433594,0.021223
-4.429688,0.021097
-4.425781,0.021097
-4.421875,0.02072
-4.417969,0.020469
-4.414063,0.02072
-4.410156,0.021097
-4.40625,0.021725
-4.402344,0.022228
-4.398438,0.022353
-4.394531,0.022353
-4.390625,0.021851
-4.386719,0.022353
-4.382813,0.022479
-4.378906,0.021599
-4.375,0.02072
-4.371094,0.020469
-4.367188,0.020217
-4.363281,0.019715
-4.359375,0.018961
-4.355469,0.018207
-4.351563,0.017579
-4.347656,0.017328
-4.34375,0.017077
-4.339844,0.016197
-4.335938,0.015318
-4.332031,0.014815
-4.328125,0.014062
-4.324219,0.013685
-4.320313,0.012805
-4.316406,0.012177
-4.3125,0.011424
-4.308594,0.01067
-4.304688,0.010042
-4.300781,0.009413
-4.296875,0.008785
-4.292969,0.008408
-4.289063,0.008032
-4.285156,0.007655
-4.28125,0.007278
-4.277344,0.00665
-4.273438,0.006398
-4.269531,0.006273
-4.265625,0.006147
-4.261719,0.00577
-4.257813,0.005519
-4.253906,0.005142
-4.25,0.005016
-4.246094,0.005016
-4.242188,0.004891
-4.238281,0.004514
-4.234375,0.004263
-4.230469,0.004137
-4.226563,0.004137
-4.222656,0.004137
-4.21875,0.003886
-4.214844,0.00376
-4.210938,0.00376
-4.207031,0.00376
-4.203125,0.00376
-4.199219,0.003635
