x_axis,channel_2
-4.980469,0.004765
-4.976563,0.00464
-4.972656,0.004514
-4.96875,0.004514
-4.964844,0.004137
-4.960938,0.004011
-4.957031,0.003886
-4.953125,0.003886
-4.949219,0.003886
-4.945313,0.003635
-4.941406,0.003635
-4.9375,0.003509
-4.933594,0.003509
-4.929688,0.003509
-4.925781,0.003383
-4.921875,0.003258
-4.917969,0.003132
-4.914063,0.003258
-4.910156,0.003258
-4.90625,0.003132
-4.902344,0.003006
-4.898438,0.002881
-4.894531,0.002881
-4.890625,0.002881
-4.886719,0.002755
-4.882813,0.00263
-4.878906,0.002504
-4.875,0.002504
-4.871094,0.002504
-4.867188,0.002378
-4.863281,0.002253
-4.859375,0.002127
-4.855469,0.002127
-4.851563,0.002001
-4.847656,0.001876
-4.84375,0.00175
-4.839844,0.001499
-4.835938,0.001499
-4.832031,0.001499
-4.828125,0.001373
-4.824219,0.001248
-4.820313,0.001122
-4.816406,0.001122
-4.8125,0.001122
-4.808594,0.000996
-4.804688,0.000996
-4.800781,0.000871
-4.796875,0.000745
-4.792969,0.000745
-4.789063,0.000745
-4.785156,0.00062
-4.78125,0.000494
-4.777344,0.000494
-4.773438,0.000494
-4.769531,0.000494
-4.765625,0.000368
-4.761719,0.000243
-4.757813,0.000243
-4.753906,0.000243
-4.75,0.000243
-4.746094,0.000117
-4.742188,0.000117
-4.738281,-9e-06
-4.734375,-9e-06
-4.730469,-9e-06
-4.726563,-9e-06
-4.722656,-9e-06
-4.71875,-0.000134
-4.714844,-0.000134
-4.710938,-9e-06
-4.707031,-0.000134
-4.703125,-0.000134
-4.699219,-0.00026
-4.695313,-0.00026
-4.691406,-0.000134
-4.6875,-0.00026
-4.683594,-0.00026
-4.679688,-0.00026
-4.675781,-0.00026
-4.671875,-0.00026
-4.667969,-0.00026
-4.664063,-0.000386
-4.660156,-0.000386
-4.65625,-0.000386
-4.652344,-0.00026
-4.648438,-0.00026
-4.644531,-0.000386
-4.640625,-0.000386
-4.636719,-0.000386
-4.632813,-0.000386
-4.628906,-0.000386
-4.625,-0.000386
-4.621094,-0.000386
-4.617188,-0.000386
-4.613281,-0.000386
-4.609375,-0.00026
-4.605469,-0.000386
-4.601563,-0.000386
-4.597656,-0.000386
-4.59375,-0.00026
-4.589844,-0.00026
-4.585938,-0.00026
-4.582031,-0.00026
-4.578125,-0.000386
-4.574219,-0.00026
-4.570313,-0.00026
-4.566406,-0.00026
-4.5625,-0.00026
-4.558594,-0.00026
-4.554688,-0.000134
-4.550781,-0.000134
-4.546875,-0.000134
-4.542969,-0.000134
-4.539063,-0.000134
-4.535156,-0.000134
-4.53125,-9e-06
-4.527344,-9e-06
-4.523438,-9e-06
-4.519531,-0.000134
-4.515625,-9e-06
-4.511719,0.000117
-4.507813,0.000117
-4.503906,-9e-06
-4.5,0.000117
-4.496094,0.000117
-4.492188,0.000117
-4.488281,0.000117
-4.484375,0.000117
-4.480469,0.000117
-4.476563,0.000117
-4.472656,0.000117
-4.46875,0.000117
-4.464844,0.000117
-4.460938,0.000117
-4.457031,0.000117
-4.453125,0.000243
-4.449219,0.000243
-4.445313,0.000243
-4.441406,0.000243
-4.4375,0.000117
-4.433594,0.000243
-4.429688,0.000243
-4.425781,0.000243
-4.421875,0.000243
-4.417969,0.000243
-4.414063,0.000243
-4.410156,0.000368
-4.40625,0.000368
-4.402344,0.000243
-4.398438,0.000243
-4.394531,0.000243
-4.390625,0.000243
-4.386719,0.000243
-4.382813,0.000243
-4.378906,0.000243
-4.375,0.000243
-4.371094,0.000243
-4.367188,0.000243
-4.363281,0.000243
-4.359375,0.000117
-4.355469,0.000243
-4.351563,0.000243
-4.347656,0.000243
-4.34375,0.000243
-4.339844,0.000243
-4.335938,0.000243
-4.332031,0.000243
-4.328125,0.000243
-4.324219,0.000243
